#
# (C) Copyright IBM Corporation 2011, 2016
#
# Example of trace output for avgtemp.tcl

PWR1MS_rcnt,TEMPAVG32MSP0C0_value,TEMPAVG32MSP0C1_value,TEMPAVG32MSP0C2_value,TEMPAVG32MSP0C3_value,TEMPAVG32MSP0C4_value,TEMPAVG32MSP0C5_value,TEMPAVG32MSP0C6_value,TEMPAVG32MSP0C7_value,TEMPAVG32MSP0_value,oca_counter
1527187,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,6
1527219,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,7
1527251,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,8
1527283,0.0,40.2,40.8,41.0,0.0,39.8,38.8,40.0,40.1,9
1527315,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,10
1527347,0.0,40.2,40.8,41.0,0.0,39.8,39.2,39.8,40.1,11
1527379,0.0,40.2,40.8,41.0,0.0,40.0,38.6,39.8,40.0,12
1527411,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,13
1527443,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,14
1527475,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,15
1527507,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,16
1527539,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,17
1527571,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,18
1527603,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,19
1527635,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,20
1527667,0.0,40.2,40.8,41.0,0.0,40.0,39.0,39.8,40.1,21
1527699,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,22
1527731,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,23
1527763,0.0,40.2,40.8,41.0,0.0,40.0,38.6,39.8,40.0,24
1527795,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,25
1527827,0.0,40.0,40.8,41.0,0.0,40.0,38.8,39.8,40.0,26
1527859,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,27
1527891,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,28
1527923,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,29
1527955,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,30
1527987,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,31
1528019,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,32
1528051,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,33
1528083,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,34
1528115,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,35
1528147,0.0,40.2,40.8,41.0,0.0,40.0,38.6,39.8,40.0,36
